Vibration_mm_s,Temperature_C,Pressure_bar,Current_A,RPM,Operating_Hours,Label,Fault_Class
7.1124,50.2379,6.2400,16.4387,1493.9116,1578.8155,2,Bearing Wear
16.0221,67.7373,7.5601,20.7610,1253.9966,7827.1428,2,Bearing Wear
3.0355,75.3529,5.6407,21.9238,1585.4806,399.4838,4,Overheating
17.3428,69.4089,6.7855,22.1722,1935.8043,2419.7240,4,Overheating
4.7218,65.7907,5.4989,16.1469,1460.3539,1982.4001,1,Normal
2.2982,46.5795,5.4630,16.0750,1591.9549,206.0054,1,Normal
17.2871,65.0425,6.7721,18.7654,1306.5093,400.2420,3,Misalignment
3.1295,69.9686,5.3518,22.5376,1122.1502,5472.8785,4,Overheating
24.0749,57.2669,7.4304,21.5644,1557.6974,4630.9048,3,Misalignment
19.0444,59.1484,6.7455,21.5953,1764.2780,2107.9778,3,Misalignment
17.3905,69.5402,6.0297,22.2358,1679.9919,2043.8611,4,Overheating
19.0748,85.4682,6.4821,24.2243,1650.0916,818.0471,4,Overheating
4.5007,48.2693,5.7040,16.1446,1509.0357,118.7258,1,Normal
9.7666,60.9810,8.0521,20.9854,1853.2674,1640.3799,5,Combined Faults
3.0868,64.5392,5.4033,15.9660,1509.7963,1447.8546,1,Normal
16.1884,62.1248,7.5071,19.3955,1616.6872,6395.9106,2,Bearing Wear
3.3673,48.9108,5.4480,15.6834,1461.8499,406.2992,1,Normal
17.4569,92.2210,5.2480,23.7716,1915.3875,1698.8532,4,Overheating
26.2052,70.1447,6.5906,17.8815,1353.5594,4486.6462,3,Misalignment
8.0000,61.1748,7.2045,23.8426,1596.0893,2121.3186,5,Combined Faults
19.8716,59.3009,7.6528,22.4027,1610.3825,4466.1914,3,Misalignment
8.7814,83.4844,7.5377,25.3537,1730.8147,1056.4052,4,Overheating
11.0361,64.4306,7.0754,24.5112,1687.5631,2503.8372,5,Combined Faults
5.2657,66.9773,5.3898,21.9223,1273.7835,957.1915,4,Overheating
3.1003,64.6040,5.4454,16.6901,1516.6987,1982.7961,1,Normal
19.2971,53.7307,6.7474,21.5164,1697.8198,2062.4239,3,Misalignment
8.7473,54.6549,6.0506,16.3881,1204.3418,1777.9666,2,Bearing Wear
3.2351,79.0617,6.3449,22.4047,1288.4766,4583.3895,4,Overheating
25.2403,52.6515,8.4107,21.7595,1705.1280,1618.8405,3,Misalignment
13.8976,62.1855,9.3528,27.6898,1813.7447,1106.8834,5,Combined Faults
5.2315,60.3420,5.6079,16.2833,1559.7500,1329.1594,1,Normal
